Date, Time, Ax, Ay, Az, Gx, Gy, Gz
2025-02-13,13:30:0,-0.73,-0.02,0.69,1.71,-1.65,1.10
2025-02-13,13:30:1,-0.73,-0.00,0.69,1.34,-2.20,0.85
2025-02-13,13:30:1,-0.72,-0.00,0.69,1.46,-1.28,0.43
2025-02-13,13:30:2,-0.72,-0.00,0.71,3.36,-2.44,4.76
2025-02-13,13:30:2,-0.72,0.01,0.70,1.71,-1.22,2.81
2025-02-13,13:30:3,-0.80,0.13,0.67,24.96,-47.49,38.45
2025-02-13,13:30:3,-0.15,-0.71,-0.90,-33.51,96.31,-96.19
2025-02-13,13:30:4,-0.41,-0.45,-0.83,-8.12,21.42,-0.18
2025-02-13,13:30:4,-0.20,-0.32,-0.83,-5.62,-9.09,28.32
2025-02-13,13:30:5,-0.15,-0.24,-0.96,-16.05,-3.11,13.49
2025-02-13,13:30:5,-0.02,-0.09,-1.00,-1.65,5.68,4.03
2025-02-13,13:30:6,0.24,0.70,1.62,-44.80,-212.52,7.02
2025-02-13,13:30:6,-0.12,0.30,0.95,-13.49,-1.59,-0.92
2025-02-13,13:30:7,-0.07,0.23,0.99,-6.53,-6.23,-1.77
2025-02-13,13:30:7,-0.06,0.22,1.00,2.56,-0.92,1.77
2025-02-13,13:30:8,-0.03,0.21,1.02,-2.38,-9.09,6.77
2025-02-13,13:30:8,0.34,0.45,0.74,-28.02,367.86,-360.96
2025-02-13,13:30:9,-0.15,-0.79,0.50,-2.32,-5.49,5.25
2025-02-13,13:30:9,-0.09,-0.87,0.52,-2.14,-2.14,2.81
2025-02-13,13:30:10,-0.08,-0.84,0.55,1.22,-0.85,0.18
2025-02-13,13:30:10,-0.18,-1.52,0.38,-96.13,107.42,402.16
2025-02-13,13:30:11,-0.35,0.96,0.11,-2.99,-3.66,2.62
2025-02-13,13:30:11,-0.30,0.99,0.04,0.92,1.40,3.17
2025-02-13,13:30:12,-0.33,0.95,0.07,1.95,4.21,-1.16
2025-02-13,13:30:12,-0.23,1.10,0.01,-5.31,12.33,-32.35
2025-02-13,13:30:13,-0.13,-2.10,0.07,26.18,-20.14,-124.02
2025-02-13,13:30:13,-0.16,-1.05,0.07,-16.11,-3.05,5.37
2025-02-13,13:30:14,-0.18,-0.97,0.10,1.59,-0.24,0.98
2025-02-13,13:30:14,-0.23,-1.04,0.16,-8.30,2.20,8.24
2025-02-13,13:30:15,-0.71,-0.78,0.45,70.43,88.26,126.95
2025-02-13,13:30:15,-0.52,0.86,0.10,14.77,2.14,-2.38
2025-02-13,13:30:16,-0.53,0.89,-0.00,5.55,-19.84,37.48
2025-02-13,13:30:16,-0.30,0.93,-0.24,10.68,0.55,-4.03
2025-02-13,13:30:17,-0.82,0.62,0.32,-22.64,10.13,36.80
2025-02-13,13:30:17,-0.61,0.47,0.55,-5.49,-15.75,-29.05
2025-02-13,13:30:18,-0.47,0.03,0.54,125.55,-199.77,-117.92
2025-02-13,13:30:18,0.24,0.28,0.95,6.23,-3.48,-10.86
