Timesteps, Temperature
1, 29.13
2, 29.21
3, 29.21
4, 29.11
5, 29.11
6, 29.22
7, 29.18
8, 29.23
9, 29.27
10, 29.07
11, 29.14
12, 29.27
13, 29.15
14, 29.23
15, 29.23
16, 29.29
17, 29.24
18, 29.29
19, 29.34
20, 29.27
21, 29.30
22, 29.22
23, 29.31
24, 29.26
25, 29.36
26, 29.47
27, 29.62
28, 29.55
29, 29.62
30, 29.63
31, 29.59
32, 29.49
33, 29.49
34, 29.54
35, 29.61
36, 29.68
37, 29.61
38, 29.65
39, 29.64
40, 29.77
41, 29.78
42, 29.86
43, 29.92
44, 29.83
45, 29.78
46, 29.87
47, 29.83
48, 29.94
49, 29.83
50, 29.80
51, 29.84
52, 29.97
53, 30.14
54, 29.84
55, 30.08
56, 30.03
57, 30.07
58, 30.04
59, 29.98
60, 30.04
61, 30.04
62, 30.06
63, 30.20
64, 30.13
65, 30.07
66, 29.96
67, 30.05
68, 30.25
69, 30.23
70, 30.29
71, 30.39
72, 30.66
73, 30.54
74, 30.53
75, 30.56
76, 30.86
77, 30.74
78, 30.75
79, 30.73
80, 30.82
81, 30.86
82, 30.89
83, 30.85
84, 30.96
85, 31.00
86, 30.96
87, 31.07
88, 31.11
89, 31.00
90, 30.91
91, 31.12
92, 31.16
93, 31.14
94, 31.19
95, 31.21
96, 31.14
97, 31.28
98, 31.13
99, 31.36
100, 31.26
101, 31.19
102, 31.37
103, 31.40
104, 31.39
105, 31.38
106, 31.47
107, 31.43
108, 31.27
109, 31.40
110, 31.30
111, 31.37
112, 31.33
113, 31.57
114, 31.47
115, 31.66
116, 31.75
117, 31.47
118, 31.59
119, 31.50
120, 31.68
121, 31.67
122, 31.73
123, 31.58
124, 31.75
125, 31.62
126, 31.52
127, 31.69
128, 31.71
129, 31.63
130, 31.53
131, 31.70
132, 31.55
133, 31.77
134, 31.60
135, 31.68
136, 31.68
137, 31.71
138, 31.75
139, 31.77
140, 31.69
141, 31.78
142, 31.75
143, 31.75
144, 31.40
145, 31.54
146, 31.36
147, 31.54
148, 31.41
149, 31.48
150, 31.51
151, 31.51
152, 31.59
153, 31.64
154, 32.02
155, 31.84
156, 32.04
157, 31.98
158, 31.74
159, 31.90
160, 31.92
161, 31.96
162, 32.06
163, 32.07
164, 31.80
165, 32.07
166, 31.96
167, 32.05
168, 32.04
169, 31.99
170, 32.34
171, 32.04
172, 32.30
173, 32.18
174, 32.18
175, 32.15
176, 32.06
177, 32.16
178, 32.30
179, 32.18
180, 32.07
181, 32.19
182, 32.15
183, 32.28
184, 32.09
185, 32.30
186, 32.15
187, 32.33
188, 32.52
189, 32.28
190, 32.36
191, 32.38
192, 32.33
193, 32.34
194, 32.05
195, 32.09
196, 31.84
197, 31.76
198, 31.63
199, 31.78
200, 31.56
201, 31.66
202, 31.82
203, 31.67
204, 31.64
205, 31.54
206, 31.41
207, 31.57
208, 31.56
209, 31.41
210, 31.44
211, 31.42
212, 31.13
213, 31.32
214, 31.24
215, 31.29
216, 31.25
217, 31.35
218, 31.23
219, 31.18
220, 31.09
221, 31.11
222, 31.21
223, 31.05
224, 30.97
225, 30.97
226, 31.08
227, 31.00
228, 31.05
229, 30.93
230, 30.86
231, 30.89
232, 30.71
233, 31.01
234, 30.99
235, 30.84
236, 30.71
237, 30.80
238, 30.76
239, 30.71
240, 30.80
241, 30.65
242, 30.59
243, 30.75
244, 30.79
245, 30.74
246, 30.75
247, 30.66
248, 30.68
249, 30.65
250, 30.42
251, 30.45
252, 30.50
253, 30.49
254, 30.41
255, 30.51
256, 30.45
257, 30.47
258, 30.55
259, 30.59
260, 30.18
261, 30.41
262, 30.33
263, 30.24
264, 30.18
265, 30.30
266, 30.32
267, 30.27
268, 30.11
269, 30.31
270, 30.35
271, 30.26
272, 30.33
273, 30.15
274, 30.07
275, 30.14
276, 30.03
277, 30.09
278, 29.90
279, 30.08
280, 29.95
281, 30.13
282, 30.04
283, 30.05
284, 29.84
285, 29.98
286, 29.99
287, 29.99
288, 29.86
289, 29.99
290, 29.89
291, 29.93
292, 30.04
293, 29.88
294, 29.71
295, 29.80
296, 29.74
297, 29.79
298, 29.78
299, 29.77
300, 29.66
301, 29.73
302, 29.82
303, 29.70
304, 29.92
305, 29.76
306, 29.73
307, 29.65
308, 29.68
309, 29.62
310, 29.75
311, 29.58
312, 29.52
313, 29.62
314, 29.49
315, 29.60
316, 29.64
317, 29.54
318, 29.54
319, 29.60
320, 29.66
321, 29.52
322, 29.69
323, 29.45
324, 29.53
325, 29.57
326, 29.69
327, 29.36
328, 29.60
329, 29.41
330, 29.30
331, 29.34
332, 29.18
333, 29.48
334, 29.21
335, 29.29
336, 29.18
337, 29.37
338, 29.49
339, 29.27
340, 29.18
341, 29.25
342, 29.16
343, 29.25
344, 29.15
345, 29.29
346, 29.00
347, 29.23
348, 29.27
349, 29.23
350, 29.15
351, 29.24
352, 29.10
353, 29.11
354, 29.12
355, 29.16
356, 29.07
357, 29.14
358, 28.98
359, 29.08
360, 29.27
361, 28.98
362, 29.30
363, 29.16
364, 29.10
365, 29.14
366, 28.91
367, 29.06
368, 29.16
369, 29.02
370, 29.14
371, 29.01
372, 29.24
373, 28.99
374, 28.80
375, 28.99
376, 28.95
377, 28.97
378, 28.95
379, 28.98
380, 28.87
381, 28.89
382, 28.71
383, 28.87
384, 29.00
385, 28.93
386, 28.89
387, 28.86
388, 28.76
389, 28.88
390, 28.97
391, 28.77
392, 28.84
393, 28.86
394, 28.82
395, 28.87
396, 28.73
397, 28.77
398, 28.83
399, 28.75
400, 28.79
401, 28.75
402, 28.64
403, 28.79
404, 28.89
405, 28.72
406, 28.81
407, 28.75
408, 28.70
409, 28.65
410, 28.62
411, 28.61
412, 28.46
413, 28.70
414, 28.48
415, 28.64
416, 28.47
417, 28.65
418, 28.39
419, 28.68
420, 28.44
421, 28.56
422, 28.52
423, 28.51
424, 28.45
425, 28.55
426, 28.51
427, 28.45
428, 28.38
429, 28.56
430, 28.28
431, 28.56
432, 28.52
433, 28.49
434, 28.29
435, 28.48
436, 28.52
437, 28.41
438, 28.29
439, 28.54
440, 28.43
441, 28.45
442, 28.37
443, 28.36
444, 28.57
445, 28.42
446, 28.57
447, 28.35
448, 28.46
449, 28.32
450, 28.47
451, 28.36
452, 28.39
453, 28.40
454, 28.27
455, 28.38
456, 28.20
457, 28.29
458, 28.27
459, 28.33
460, 28.24
461, 28.22
462, 28.31
463, 28.33
464, 28.41
465, 28.22
466, 28.10
467, 28.21
468, 28.29
469, 28.21
470, 28.36
471, 28.29
472, 28.12
473, 28.10
474, 28.37
475, 28.15
476, 28.15
477, 28.14
478, 28.17
479, 28.03
480, 28.12
481, 28.10
482, 28.04
483, 28.10
484, 27.96
485, 28.00
486, 28.10
487, 27.99
488, 28.05
489, 28.02
490, 28.19
491, 28.10
492, 28.16
493, 28.07
494, 28.14
495, 28.02
496, 27.91
497, 28.00
498, 27.96
499, 28.04
500, 27.84
501, 28.12
502, 27.94
503, 27.95
504, 27.98
505, 27.91
506, 27.90
507, 27.89
508, 27.99
509, 28.00
510, 27.95
511, 27.91
512, 27.78
513, 27.97
514, 27.83
515, 27.93
516, 27.72
517, 27.99
518, 27.86
519, 27.95
520, 27.89
521, 27.91
522, 27.81
523, 27.85
524, 27.97
525, 27.86
526, 27.96
527, 27.84
528, 27.83
529, 27.89
530, 27.85
531, 27.90
532, 27.95
533, 27.83
534, 27.84
535, 27.85
536, 28.04
537, 27.88
538, 27.89
539, 27.79
540, 27.77
541, 27.84
542, 27.87
543, 27.84
544, 27.64
545, 27.81
546, 27.76
547, 27.87
548, 27.68
549, 27.83
550, 27.77
551, 27.85
552, 27.60
553, 27.84
554, 27.78
555, 27.86
556, 27.84
557, 27.82
558, 27.87
559, 27.82
560, 27.52
561, 27.67
562, 27.83
563, 27.67
564, 27.51
565, 27.84
566, 27.67
567, 27.76
568, 27.61
569, 27.70
570, 27.66
571, 27.79
572, 27.72
573, 27.82
574, 27.59
575, 27.73
576, 27.95
577, 27.79
578, 27.58
579, 27.71
580, 27.95
581, 27.64
582, 27.77
583, 27.72
584, 27.58
585, 27.68
586, 27.72
587, 27.68
588, 27.86
589, 27.54
590, 27.57
591, 27.73
592, 27.44
593, 27.63
594, 27.60
595, 27.73
596, 27.38
597, 27.61
598, 27.66
599, 27.62
600, 27.74
601, 27.62
602, 27.66
603, 27.66
604, 27.70
605, 27.66
606, 27.85
607, 27.54
608, 27.80
609, 27.56
610, 27.46
611, 27.59
612, 27.41
613, 27.43
614, 27.63
615, 27.53
616, 27.75
617, 27.51
618, 27.51
619, 27.56
620, 27.44
621, 27.61
622, 27.48
623, 27.60
624, 27.40
625, 27.55
626, 27.56
627, 27.52
628, 27.39
629, 27.68
630, 27.58
631, 27.54
632, 27.42
633, 27.36
634, 27.39
635, 27.52
636, 27.46
637, 27.57
638, 27.47
639, 27.49
640, 27.28
641, 27.48
642, 27.54
643, 27.54
644, 27.51
645, 27.56
646, 27.29
647, 27.41
648, 27.23
649, 27.42
650, 27.34
651, 27.53
652, 27.63
654, 27.53
655, 27.53
656, 27.50
657, 27.51
658, 27.31
659, 27.47
660, 27.33
661, 27.49
662, 27.58
663, 27.55
664, 27.32
665, 27.42
666, 27.43
667, 27.42
668, 27.49
669, 27.43
670, 27.58
671, 27.29
672, 27.54
673, 27.43
674, 27.71
675, 27.42
676, 27.59
677, 27.34
678, 27.33
679, 27.42
680, 27.74
681, 27.40
682, 27.63
683, 27.33
684, 27.20
685, 27.42
686, 27.55
687, 27.54
688, 27.46
689, 27.37
690, 27.14
691, 27.41
692, 27.31
693, 27.18
694, 27.43
695, 27.29
696, 27.44
697, 27.31
698, 27.40
699, 27.35
700, 27.44
701, 27.37
702, 27.61
703, 27.35
704, 27.52
705, 27.37
706, 27.09
707, 27.32
708, 27.11
709, 27.21
710, 27.13
711, 27.29
712, 27.11
713, 27.30
714, 27.54
715, 27.35
716, 27.41
717, 27.28
718, 27.39
719, 27.37
720, 27.12
721, 27.37
722, 27.60
723, 27.23
724, 27.46
725, 27.20
726, 27.40
727, 27.32
728, 27.33
729, 27.15
730, 27.42
731, 27.30
732, 27.04
733, 27.30
734, 27.41
735, 27.30
736, 27.31
737, 27.27
738, 27.11
739, 27.30
740, 27.08
741, 27.16
742, 27.36
743, 27.22
744, 27.37
745, 27.32
746, 27.12
747, 27.22
748, 27.48
749, 27.23
750, 27.05
